service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,start_date_f,end_date_f
16976,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13616,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
16882,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16883,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16971,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16972,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16881,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17164,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16977,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16978,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13549,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
16877,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16924,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16905,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16906,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13630,0,0,0,0,0,1,1,20180303,20211201,2018.03.03,2021.12.01
13504,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13505,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
16760,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13551,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
16945,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16061,0,0,0,0,0,1,1,20200322,20211201,2020.03.22,2021.12.01
16908,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13555,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
16925,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16909,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16880,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16878,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16702,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17163,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16910,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13573,0,0,0,0,0,1,1,20170623,20211201,2017.06.23,2021.12.01
16926,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16911,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17325,1,1,1,1,1,0,0,20201201,20211201,2020.12.01,2021.12.01
16927,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16913,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
10659,0,0,0,0,0,1,1,20170902,20211201,2017.09.02,2021.12.01
16914,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
7836,0,0,0,0,0,1,1,20151011,20211201,2015.10.11,2021.12.01
17424,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17423,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16571,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16570,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
15634,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13513,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
13514,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
16915,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
15469,0,0,0,0,0,1,1,20191201,20211201,2019.12.01,2021.12.01
15635,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16928,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16916,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17562,1,1,1,1,1,1,1,20200901,20211201,2020.09.01,2021.12.01
16857,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16929,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16917,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16894,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16918,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
9253,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17140,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17154,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17152,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17142,0,0,0,0,0,1,1,20150606,20211201,2015.06.06,2021.12.01
16919,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13788,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
17020,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13566,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
17421,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17422,0,0,0,0,0,1,1,20150606,20211201,2015.06.06,2021.12.01
16876,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
7731,0,0,0,0,0,1,1,20150905,20211201,2015.09.05,2021.12.01
16747,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13553,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
17162,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
14058,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
16921,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16992,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16922,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16828,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16826,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16935,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16923,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16930,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16827,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16931,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17161,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
7523,0,0,0,0,0,1,1,20150808,20211201,2015.08.08,2021.12.01
16890,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
15078,0,0,0,0,0,1,1,20190907,20211201,2019.09.07,2021.12.01
16493,1,1,1,1,1,0,0,20190304,20211201,2019.03.04,2021.12.01
16492,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
13559,1,1,1,1,1,0,0,20190304,20211201,2019.03.04,2021.12.01
13558,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
16860,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16859,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
11431,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16973,1,1,1,1,1,0,0,20190304,20211201,2019.03.04,2021.12.01
16933,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17009,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13568,1,1,1,1,1,0,0,20190304,20211201,2019.03.04,2021.12.01
16834,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16790,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17234,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16711,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16675,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16716,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16693,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16937,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16944,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16794,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17242,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17307,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16939,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16941,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13893,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
14635,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16766,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
15315,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16734,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17085,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16742,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17073,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16764,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16743,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16903,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16499,0,0,0,0,0,1,1,20160903,20211201,2016.09.03,2021.12.01
16758,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16757,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16832,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16759,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16763,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16762,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16765,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17752,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16775,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
15492,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16777,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16779,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16778,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16781,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16741,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16787,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16774,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
15493,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17299,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16780,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16749,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16755,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16748,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16744,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
